sequence_idx,frame_idx,true,predicted,dataset,source
3,1,Dmin,Dmin,AAM,midi
3,2,Dmin,Dmin,AAM,midi
3,3,Dmin,Dmin,AAM,midi
3,4,Dmin,Dmin,AAM,midi
3,5,Dmin,Dmin,AAM,midi
3,6,Dmin,Dmin,AAM,midi
3,7,Dmin,Dmin,AAM,midi
3,8,Dmin,Dmin,AAM,midi
3,9,Dmin,Dmin,AAM,midi
3,10,Dmin,Dmin,AAM,midi
3,11,Dmin,Dmin,AAM,midi
3,12,Dmin,Dmin,AAM,midi
3,13,Dmin,Dmin,AAM,midi
3,14,Dmin,Dmin,AAM,midi
3,15,Dmin,Dmin,AAM,midi
3,16,Dmin,Dmin,AAM,midi
3,17,Dmin,Dmin,AAM,midi
3,18,Dmin,Dmin,AAM,midi
3,19,Dmin,Dmin,AAM,midi
3,20,Dmin,Dmin,AAM,midi
3,21,Dmin,Dmin,AAM,midi
4,0,G#maj,G#maj,AAM,midi
4,1,G#maj,G#maj,AAM,midi
4,2,G#maj,G#maj,AAM,midi
4,3,G#maj,G#maj,AAM,midi
4,4,G#maj,G#maj,AAM,midi
4,5,G#maj,G#maj,AAM,midi
4,6,G#maj,G#maj,AAM,midi
4,7,G#maj,G#maj,AAM,midi
4,8,G#maj,G#maj,AAM,midi
4,9,G#maj,G#maj,AAM,midi
4,10,G#maj,G#maj,AAM,midi
4,11,G#maj,G#maj,AAM,midi
4,12,G#maj,G#maj,AAM,midi
4,13,G#maj,G#maj,AAM,midi
4,14,G#maj,G#maj,AAM,midi
4,15,G#maj,G#maj,AAM,midi
4,16,G#maj,G#maj,AAM,midi
4,17,G#maj,G#maj,AAM,midi
4,18,G#maj,G#maj,AAM,midi
4,19,G#maj,G#maj,AAM,midi
4,20,G#maj,G#maj,AAM,midi
4,21,G#maj,G#maj,AAM,midi
5,0,A#min,A#min,AAM,midi
5,1,A#min,A#min,AAM,midi
5,2,A#min,A#min,AAM,midi
5,3,A#min,A#min,AAM,midi
5,4,A#min,A#min,AAM,midi
5,5,A#min,A#min,AAM,midi
5,6,A#min,A#min,AAM,midi
5,7,A#min,A#min,AAM,midi
5,8,A#min,A#min,AAM,midi
5,9,A#min,A#min,AAM,midi
5,10,Cmaj,Cmaj,AAM,midi
5,11,Cmaj,Cmaj,AAM,midi
5,12,Cmaj,Cmaj,AAM,midi
5,13,Cmaj,Cmaj,AAM,midi
5,14,Cmaj,Cmaj,AAM,midi
5,15,Cmaj,Cmaj,AAM,midi
5,16,Cmaj,Cmaj,AAM,midi
5,17,Cmaj,Cmaj,AAM,midi
5,18,Cmaj,Cmaj,AAM,midi
5,19,Cmaj,Cmaj,AAM,midi
5,20,Cmaj,Cmaj,AAM,midi
5,21,Cmaj,Cmaj,AAM,midi
6,0,Amin,Amin,AAM,midi
6,1,Amin,Amin,AAM,midi
6,2,Amin,Amin,AAM,midi
6,3,Amin,Amin,AAM,midi
6,4,Amin,Amin,AAM,midi
6,5,Amin,Amin,AAM,midi
6,6,Amin,Amin,AAM,midi
6,7,Amin,Amin,AAM,midi
6,8,Amin,Amin,AAM,midi
6,9,Amin,Amin,AAM,midi
6,10,Amin,Amin,AAM,midi
6,11,Amin,Amin,AAM,midi
6,12,Amin,Amin,AAM,midi
6,13,Amin,Amin,AAM,midi
6,14,Amin,Amin,AAM,midi
6,15,Amin,Amin,AAM,midi
6,16,Amin,Amin,AAM,midi
6,17,Amin,Amin,AAM,midi
6,18,Amin,Amin,AAM,midi
6,19,Amin,Amin,AAM,midi
6,20,Amin,Amin,AAM,midi
6,21,Bmin,Amin,AAM,midi
7,0,Dmin,Fmaj,AAM,midi
7,1,Dmin,Dmin,AAM,midi
7,2,Dmin,Fmaj,AAM,midi
7,3,Dmin,Fmaj,AAM,midi
7,4,Dmin,Dmin,AAM,midi
7,5,Dmin,A#maj,AAM,midi
7,6,Dmin,Dmin,AAM,midi
7,7,Dmin,A#maj,AAM,midi
7,8,Dmin,Dmin,AAM,midi
7,9,Dmin,Dmin,AAM,midi
7,10,Dmin,Bmin,AAM,midi
7,11,Dmin,Dmin,AAM,midi
7,12,Dmin,A#maj,AAM,midi
7,13,Dmin,A#maj,AAM,midi
7,14,Dmin,A#maj,AAM,midi
7,15,Dmin,A#maj,AAM,midi
7,16,Dmin,Dmin,AAM,midi
7,17,Dmin,Fmaj,AAM,midi
7,18,Dmin,Fmaj,AAM,midi
7,19,Dmin,A#min,AAM,midi
7,20,Dmin,Dmin,AAM,midi
7,21,Dmin,Fmaj,AAM,midi
8,0,D#min,D#min,AAM,midi
8,1,D#min,D#min,AAM,midi
8,2,D#min,D#min,AAM,midi
8,3,D#min,D#min,AAM,midi
8,4,D#min,D#min,AAM,midi
8,5,D#min,D#min,AAM,midi
8,6,D#min,F#maj,AAM,midi
8,7,D#min,F#maj,AAM,midi
8,8,D#min,F#maj,AAM,midi
8,9,D#min,F#maj,AAM,midi
8,10,D#min,F#maj,AAM,midi
8,11,D#min,Bmin,AAM,midi
8,12,D#min,Bmaj,AAM,midi
8,13,D#min,Bmaj,AAM,midi
8,14,Bmaj,Bmaj,AAM,midi
8,15,Bmaj,Bmaj,AAM,midi
8,16,Bmaj,Bmaj,AAM,midi
8,17,Bmaj,Bmaj,AAM,midi
8,18,Bmaj,Bmaj,AAM,midi
8,19,Bmaj,D#min,AAM,midi
8,20,Bmaj,D#min,AAM,midi
8,21,Bmaj,G#maj,AAM,midi
9,0,F#min,F#min,AAM,midi
9,1,F#min,F#min,AAM,midi
9,2,F#min,F#min,AAM,midi
9,3,F#min,F#min,AAM,midi
9,4,F#min,F#min,AAM,midi
9,5,F#min,F#min,AAM,midi
9,6,F#min,F#min,AAM,midi
9,7,F#min,F#min,AAM,midi
9,8,F#min,F#min,AAM,midi
9,9,F#min,F#min,AAM,midi
9,10,F#min,F#min,AAM,midi
9,11,F#min,F#min,AAM,midi
9,12,F#min,F#min,AAM,midi
9,13,F#min,F#min,AAM,midi
9,14,F#min,F#min,AAM,midi
9,15,F#min,F#min,AAM,midi
9,16,F#min,F#min,AAM,midi
9,17,F#min,F#min,AAM,midi
9,18,F#min,F#min,AAM,midi
9,19,F#min,F#min,AAM,midi
9,20,F#min,F#min,AAM,midi
9,21,F#min,F#min,AAM,midi
10,0,A#maj,A#maj,AAM,midi
10,1,A#maj,A#maj,AAM,midi
10,2,A#maj,A#maj,AAM,midi
10,3,A#maj,A#maj,AAM,midi
10,4,A#maj,A#maj,AAM,midi
10,5,A#maj,A#maj,AAM,midi
10,6,A#maj,A#maj,AAM,midi
10,7,A#maj,A#maj,AAM,midi
10,8,A#maj,A#maj,AAM,midi
10,9,A#maj,A#maj,AAM,midi
10,10,A#maj,A#maj,AAM,midi
10,11,A#maj,A#maj,AAM,midi
10,12,A#maj,A#maj,AAM,midi
10,13,Cmin,Cmin,AAM,midi
10,14,Cmin,Cmin,AAM,midi
10,15,Cmin,Cmin,AAM,midi
10,16,Cmin,Cmin,AAM,midi
10,17,Cmin,Cmin,AAM,midi
10,18,Cmin,Cmin,AAM,midi
10,19,Cmin,Cmin,AAM,midi
10,20,Cmin,Cmin,AAM,midi
10,21,Cmin,Cmin,AAM,midi
11,0,Fmaj,Fmaj,AAM,midi
11,1,Fmaj,Fmaj,AAM,midi
11,2,Fmaj,Fmaj,AAM,midi
11,3,Fmaj,Fmaj,AAM,midi
11,4,Fmaj,Fmaj,AAM,midi
11,5,Fmaj,Fmaj,AAM,midi
11,6,Fmaj,Fmaj,AAM,midi
11,7,Fmaj,Fmaj,AAM,midi
11,8,Fmaj,Fmaj,AAM,midi
11,9,Fmaj,Fmaj,AAM,midi
11,10,Fmaj,Fmaj,AAM,midi
11,11,Fmaj,Fmaj,AAM,midi
11,12,Fmaj,Fmaj,AAM,midi
11,13,Fmaj,Fmaj,AAM,midi
11,14,Fmaj,Fmaj,AAM,midi
11,15,Fmaj,Fmaj,AAM,midi
11,16,Fmaj,Fmaj,AAM,midi
11,17,Fmaj,Fmaj,AAM,midi
11,18,Fmaj,Fmaj,AAM,midi
11,19,Fmaj,Fmaj,AAM,midi
11,20,Fmaj,Fmaj,AAM,midi
11,21,Fmaj,Fmaj,AAM,midi
12,0,F#maj,F#maj,AAM,midi
12,1,F#maj,F#maj,AAM,midi
12,2,F#maj,F#maj,AAM,midi
12,3,F#maj,F#maj,AAM,midi
12,4,F#maj,F#maj,AAM,midi
12,5,F#maj,F#maj,AAM,midi
12,6,F#maj,F#maj,AAM,midi
12,7,F#maj,F#maj,AAM,midi
12,8,F#maj,F#maj,AAM,midi
12,9,F#maj,F#maj,AAM,midi
12,10,F#maj,F#maj,AAM,midi
12,11,F#maj,F#maj,AAM,midi
12,12,F#maj,F#maj,AAM,midi
12,13,F#maj,F#maj,AAM,midi
12,14,F#maj,F#maj,AAM,midi
12,15,F#maj,F#maj,AAM,midi
12,16,F#maj,F#maj,AAM,midi
12,17,F#maj,F#maj,AAM,midi
12,18,F#maj,F#maj,AAM,midi
12,19,F#maj,F#maj,AAM,midi
12,20,F#maj,F#maj,AAM,midi
12,21,F#maj,F#maj,AAM,midi
13,0,F#min,F#maj,AAM,midi
13,1,F#min,F#maj,AAM,midi
13,2,F#min,F#min,AAM,midi
13,3,F#min,F#min,AAM,midi
13,4,F#min,F#min,AAM,midi
13,5,F#min,F#min,AAM,midi
13,6,F#min,F#min,AAM,midi
13,7,F#min,F#min,AAM,midi
13,8,F#min,Amaj,AAM,midi
13,9,F#min,Amaj,AAM,midi
13,10,F#min,Amaj,AAM,midi
13,11,F#min,Amaj,AAM,midi
13,12,F#min,Amaj,AAM,midi
13,13,F#min,Amaj,AAM,midi
13,14,Emin,Emaj,AAM,midi
13,15,Emin,Emaj,AAM,midi
13,16,Emin,Emaj,AAM,midi
13,17,Emin,Emaj,AAM,midi
13,18,Emin,Emaj,AAM,midi
13,19,Emin,Amaj,AAM,midi
13,20,Emin,Amaj,AAM,midi
13,21,Emin,Amaj,AAM,midi
14,0,F#maj,F#maj,AAM,midi
14,1,F#maj,F#maj,AAM,midi
14,2,F#maj,F#maj,AAM,midi
14,3,F#maj,F#maj,AAM,midi
14,4,F#maj,F#maj,AAM,midi
14,5,F#maj,F#maj,AAM,midi
14,6,F#maj,F#maj,AAM,midi
14,7,F#maj,F#maj,AAM,midi
14,8,F#maj,F#maj,AAM,midi
14,9,F#maj,F#maj,AAM,midi
14,10,F#maj,F#maj,AAM,midi
14,11,F#maj,F#maj,AAM,midi
14,12,F#maj,F#maj,AAM,midi
14,13,F#maj,F#maj,AAM,midi
14,14,F#maj,F#maj,AAM,midi
14,15,F#maj,F#maj,AAM,midi
14,16,F#maj,F#maj,AAM,midi
14,17,F#maj,F#maj,AAM,midi
14,18,F#maj,F#maj,AAM,midi
14,19,F#maj,F#maj,AAM,midi
14,20,F#maj,F#maj,AAM,midi
14,21,F#maj,F#maj,AAM,midi
15,0,Cmin,Cmin,AAM,midi
15,1,Cmin,Cmin,AAM,midi
15,2,Cmin,Cmin,AAM,midi
15,3,Cmin,Cmin,AAM,midi
15,4,Cmin,Cmin,AAM,midi
15,5,Cmin,Cmin,AAM,midi
15,6,Cmin,Cmin,AAM,midi
15,7,Cmin,Cmin,AAM,midi
15,8,Cmin,Cmin,AAM,midi
15,9,Cmin,Cmin,AAM,midi
15,10,Cmin,Cmin,AAM,midi
15,11,Cmin,Cmin,AAM,midi
15,12,Cmin,Cmin,AAM,midi
15,13,Cmin,Cmin,AAM,midi
15,14,Cmin,Cmin,AAM,midi
15,15,Cmin,Cmin,AAM,midi
15,16,Cmin,Cmin,AAM,midi
15,17,Cmin,Cmin,AAM,midi
15,18,Cmin,Cmin,AAM,midi
15,19,Cmin,Cmin,AAM,midi
15,20,Cmin,Cmin,AAM,midi
15,21,Cmin,Cmin,AAM,midi
16,0,Dmaj,Dmaj,AAM,midi
16,1,Dmaj,Dmaj,AAM,midi
16,2,Dmaj,Dmaj,AAM,midi
16,3,Dmaj,Dmaj,AAM,midi
16,4,Dmaj,Dmaj,AAM,midi
16,5,Dmaj,Dmaj,AAM,midi
16,6,Dmaj,Dmaj,AAM,midi
16,7,Dmaj,Dmaj,AAM,midi
16,8,Dmaj,Dmaj,AAM,midi
16,9,Dmaj,Dmaj,AAM,midi
16,10,Dmaj,Dmaj,AAM,midi
16,11,Dmaj,Dmaj,AAM,midi
16,12,Dmaj,Dmaj,AAM,midi
16,13,Dmaj,Dmaj,AAM,midi
16,14,Dmaj,Dmaj,AAM,midi
16,15,Dmaj,Dmaj,AAM,midi
16,16,Dmaj,Dmaj,AAM,midi
16,17,Dmaj,Dmaj,AAM,midi
16,18,Dmaj,Dmaj,AAM,midi
16,19,Dmaj,Dmaj,AAM,midi
16,20,Dmaj,Dmaj,AAM,midi
16,21,Dmaj,Dmaj,AAM,midi
17,0,C#maj,C#maj,AAM,midi
17,1,C#maj,C#maj,AAM,midi
17,2,C#maj,C#maj,AAM,midi
17,3,C#maj,C#maj,AAM,midi
17,4,C#maj,C#maj,AAM,midi
17,5,C#maj,C#maj,AAM,midi
17,6,C#maj,C#maj,AAM,midi
17,7,C#maj,C#maj,AAM,midi
17,8,C#maj,C#maj,AAM,midi
17,9,C#maj,C#maj,AAM,midi
17,10,C#maj,C#maj,AAM,midi
17,11,C#maj,C#maj,AAM,midi
17,12,C#maj,C#maj,AAM,midi
17,13,C#maj,C#maj,AAM,midi
17,14,C#maj,C#maj,AAM,midi
17,15,C#maj,C#maj,AAM,midi
17,16,C#maj,C#maj,AAM,midi
17,17,C#maj,C#maj,AAM,midi
17,18,C#maj,C#maj,AAM,midi
17,19,C#maj,C#maj,AAM,midi
17,20,C#maj,C#maj,AAM,midi
17,21,C#maj,C#maj,AAM,midi
18,0,G#min,G#min,AAM,midi
18,1,G#min,G#min,AAM,midi
18,2,G#min,G#min,AAM,midi
18,3,G#min,G#min,AAM,midi
18,4,G#min,G#min,AAM,midi
18,5,G#min,G#min,AAM,midi
18,6,G#min,G#min,AAM,midi
18,7,G#min,G#min,AAM,midi
18,8,G#min,G#min,AAM,midi
18,9,F#maj,F#maj,AAM,midi
18,10,F#maj,F#maj,AAM,midi
18,11,F#maj,F#maj,AAM,midi
18,12,F#maj,F#maj,AAM,midi
18,13,F#maj,F#maj,AAM,midi
18,14,F#maj,F#maj,AAM,midi
18,15,F#maj,F#maj,AAM,midi
18,16,F#maj,F#maj,AAM,midi
18,17,F#maj,F#maj,AAM,midi
18,18,F#maj,F#maj,AAM,midi
18,19,F#maj,F#maj,AAM,midi
18,20,F#maj,F#maj,AAM,midi
18,21,F#maj,F#maj,AAM,midi
19,0,Cmaj,Amin,AAM,midi
19,1,Cmaj,Amin,AAM,midi
19,2,Cmaj,Cmaj,AAM,midi
19,3,Cmaj,Cmaj,AAM,midi
19,4,Cmaj,Cmaj,AAM,midi
19,5,Cmaj,G#maj,AAM,midi
19,6,Cmaj,Cmin,AAM,midi
19,7,Cmaj,Fmaj,AAM,midi
19,8,Cmaj,G#maj,AAM,midi
19,9,Cmaj,Cmin,AAM,midi
19,10,Cmaj,Cmin,AAM,midi
19,11,Cmaj,Fmaj,AAM,midi
19,12,A#maj,Dmin,AAM,midi
19,13,A#maj,Gmaj,AAM,midi
19,14,A#maj,A#maj,AAM,midi
19,15,A#maj,A#maj,AAM,midi
19,16,A#maj,Gmin,AAM,midi
19,17,A#maj,Gmin,AAM,midi
19,18,A#maj,A#maj,AAM,midi
19,19,A#maj,Gmin,AAM,midi
19,20,A#maj,F#maj,AAM,midi
19,21,A#maj,Gmin,AAM,midi
20,0,D#min,D#min,AAM,midi
20,1,D#min,D#min,AAM,midi
20,2,D#min,D#min,AAM,midi
20,3,D#min,D#min,AAM,midi
20,4,A#min,A#min,AAM,midi
20,5,A#min,A#min,AAM,midi
20,6,A#min,A#min,AAM,midi
20,7,A#min,A#min,AAM,midi
20,8,A#min,A#min,AAM,midi
20,9,A#min,A#min,AAM,midi
20,10,A#min,A#min,AAM,midi
20,11,A#min,A#min,AAM,midi
20,12,A#min,A#min,AAM,midi
20,13,A#min,A#min,AAM,midi
20,14,A#min,A#min,AAM,midi
20,15,A#min,A#min,AAM,midi
20,16,A#min,A#min,AAM,midi
20,17,A#min,A#min,AAM,midi
20,18,A#min,A#min,AAM,midi
20,19,A#min,A#min,AAM,midi
20,20,A#min,A#min,AAM,midi
20,21,A#min,A#min,AAM,midi
21,0,Cmin,Cmin,AAM,midi
21,1,Cmin,Cmin,AAM,midi
21,2,Cmin,Cmin,AAM,midi
21,3,Cmin,Cmin,AAM,midi
21,4,Cmin,Cmin,AAM,midi
21,5,Cmin,Cmin,AAM,midi
21,6,Cmin,Cmin,AAM,midi
21,7,Cmin,Cmin,AAM,midi
21,8,Cmin,Cmin,AAM,midi
21,9,Cmin,Cmin,AAM,midi
21,10,Cmin,Cmin,AAM,midi
21,11,Cmin,Cmin,AAM,midi
21,12,Cmin,Cmin,AAM,midi
21,13,Cmin,Cmin,AAM,midi
21,14,Cmin,Cmin,AAM,midi
21,15,Cmin,Cmin,AAM,midi
21,16,Cmin,Cmin,AAM,midi
21,17,Cmin,Cmin,AAM,midi
21,18,Cmin,Cmin,AAM,midi
21,19,Cmin,Cmin,AAM,midi
21,20,A#maj,A#maj,AAM,midi
21,21,A#maj,A#maj,AAM,midi
22,0,F#maj,F#maj,AAM,midi
22,1,F#maj,F#maj,AAM,midi
22,2,F#maj,F#maj,AAM,midi
22,3,F#maj,F#maj,AAM,midi
22,4,F#maj,F#maj,AAM,midi
22,5,F#maj,F#maj,AAM,midi
22,6,F#maj,F#maj,AAM,midi
22,7,F#maj,F#maj,AAM,midi
22,8,F#maj,F#maj,AAM,midi
22,9,F#maj,F#maj,AAM,midi
22,10,F#maj,F#maj,AAM,midi
22,11,F#maj,F#maj,AAM,midi
22,12,F#maj,F#maj,AAM,midi
22,13,F#maj,F#maj,AAM,midi
22,14,F#maj,F#maj,AAM,midi
22,15,F#maj,F#maj,AAM,midi
22,16,F#maj,F#maj,AAM,midi
22,17,F#maj,F#maj,AAM,midi
22,18,F#maj,F#maj,AAM,midi
22,19,F#maj,F#maj,AAM,midi
22,20,F#maj,F#maj,AAM,midi
22,21,F#maj,F#maj,AAM,midi
23,0,Cmaj,Cmaj,AAM,midi
23,1,Cmaj,Cmaj,AAM,midi
23,2,Cmaj,Cmaj,AAM,midi
23,3,Cmaj,Cmaj,AAM,midi
23,4,Cmaj,Cmaj,AAM,midi
23,5,Cmaj,Cmaj,AAM,midi
23,6,Cmaj,Cmaj,AAM,midi
23,7,Cmaj,Cmaj,AAM,midi
23,8,Cmaj,Cmaj,AAM,midi
23,9,Cmaj,Cmaj,AAM,midi
23,10,Cmaj,Cmaj,AAM,midi
23,11,Cmaj,Cmaj,AAM,midi
23,12,Emin,Emin,AAM,midi
23,13,Emin,Emin,AAM,midi
23,14,Emin,Emin,AAM,midi
23,15,Emin,Emin,AAM,midi
23,16,Emin,Emin,AAM,midi
23,17,Emin,Emin,AAM,midi
23,18,Emin,Emin,AAM,midi
23,19,Emin,Emin,AAM,midi
23,20,Emin,Emin,AAM,midi
23,21,Emin,Emin,AAM,midi
24,0,Cmin,Cmaj,AAM,midi
24,1,Cmin,Cmaj,AAM,midi
24,2,Cmin,Cmaj,AAM,midi
24,3,Cmin,Cmaj,AAM,midi
24,4,Cmin,Cmaj,AAM,midi
24,5,Cmin,Cmaj,AAM,midi
24,6,Cmin,Cmaj,AAM,midi
24,7,Cmin,Cmaj,AAM,midi
24,8,Cmin,Cmaj,AAM,midi
24,9,Cmin,Cmin,AAM,midi
24,10,Cmin,Cmin,AAM,midi
24,11,Cmin,Cmin,AAM,midi
24,12,Cmin,Cmin,AAM,midi
24,13,Cmin,Cmin,AAM,midi
24,14,Cmin,Cmin,AAM,midi
24,15,Cmin,G#maj,AAM,midi
24,16,Cmin,G#maj,AAM,midi
24,17,Cmin,Cmin,AAM,midi
24,18,Cmin,Cmin,AAM,midi
24,19,Cmin,G#maj,AAM,midi
24,20,Cmin,Cmin,AAM,midi
24,21,Cmin,Cmin,AAM,midi
25,0,F#maj,F#maj,AAM,midi
25,1,F#maj,D#min,AAM,midi
25,2,F#maj,Gmin,AAM,midi
25,3,F#maj,Gmin,AAM,midi
25,4,F#maj,Gmin,AAM,midi
25,5,Fmin,G#maj,AAM,midi
25,6,Fmin,G#maj,AAM,midi
25,7,Fmin,G#maj,AAM,midi
25,8,Fmin,Fmin,AAM,midi
25,9,Fmin,Fmin,AAM,midi
25,10,Fmin,Fmin,AAM,midi
25,11,Fmin,Fmin,AAM,midi
25,12,Fmin,Fmin,AAM,midi
25,13,Fmin,Fmin,AAM,midi
25,14,Fmin,Fmin,AAM,midi
25,15,Fmin,Fmaj,AAM,midi
25,16,Fmin,Fmin,AAM,midi
25,17,Fmin,Fmin,AAM,midi
25,18,Fmin,Fmaj,AAM,midi
25,19,Fmin,Fmin,AAM,midi
25,20,Fmin,Fmin,AAM,midi
25,21,Fmin,Fmin,AAM,midi
26,0,Bmin,Bmin,AAM,midi
26,1,Bmin,Bmin,AAM,midi
26,2,Bmin,Bmin,AAM,midi
26,3,Bmin,Bmin,AAM,midi
26,4,Bmin,Bmin,AAM,midi
26,5,Bmin,Bmin,AAM,midi
26,6,Bmin,Bmin,AAM,midi
26,7,Bmin,Bmin,AAM,midi
26,8,Bmin,Bmin,AAM,midi
26,9,Bmin,Bmin,AAM,midi
26,10,Bmin,Bmin,AAM,midi
26,11,Bmin,Bmin,AAM,midi
26,12,Bmin,Bmin,AAM,midi
26,13,Bmin,Bmin,AAM,midi
26,14,Bmin,Bmin,AAM,midi
26,15,Bmin,Bmin,AAM,midi
26,16,Bmin,Bmin,AAM,midi
26,17,Gmaj,Gmaj,AAM,midi
26,18,Gmaj,Gmaj,AAM,midi
26,19,Gmaj,Gmaj,AAM,midi
26,20,Gmaj,Gmaj,AAM,midi
26,21,Gmaj,Gmaj,AAM,midi
27,0,F#maj,F#maj,AAM,midi
27,1,F#maj,F#maj,AAM,midi
27,2,F#maj,F#maj,AAM,midi
27,3,F#maj,F#maj,AAM,midi
27,4,F#maj,F#maj,AAM,midi
27,5,F#maj,F#maj,AAM,midi
27,6,F#maj,F#maj,AAM,midi
27,7,F#maj,F#maj,AAM,midi
27,8,F#maj,F#maj,AAM,midi
27,9,F#maj,F#maj,AAM,midi
27,10,F#maj,F#maj,AAM,midi
27,11,F#maj,F#maj,AAM,midi
27,12,F#maj,F#maj,AAM,midi
27,13,F#maj,F#maj,AAM,midi
27,14,F#maj,F#maj,AAM,midi
27,15,F#maj,F#maj,AAM,midi
27,16,F#maj,F#maj,AAM,midi
27,17,F#maj,F#maj,AAM,midi
27,18,F#maj,F#maj,AAM,midi
27,19,F#maj,F#maj,AAM,midi
27,20,F#maj,F#maj,AAM,midi
27,21,D#min,F#maj,AAM,midi
28,0,A#min,C#maj,AAM,midi
28,1,A#min,C#maj,AAM,midi
28,2,A#min,Fmaj,AAM,midi
28,3,A#min,Fmaj,AAM,midi
28,4,A#min,Fmaj,AAM,midi
28,5,A#min,Fmaj,AAM,midi
28,6,A#min,Fmaj,AAM,midi
28,7,A#min,Dmin,AAM,midi
28,8,A#min,Dmin,AAM,midi
28,9,A#min,Fmaj,AAM,midi
28,10,G#min,D#min,AAM,midi
28,11,G#min,G#maj,AAM,midi
28,12,G#min,Cmin,AAM,midi
28,13,G#min,G#maj,AAM,midi
28,14,G#min,G#min,AAM,midi
28,15,G#min,Bmaj,AAM,midi
28,16,G#min,Bmaj,AAM,midi
28,17,G#min,Bmaj,AAM,midi
28,18,G#min,Bmaj,AAM,midi
28,19,G#min,Bmaj,AAM,midi
28,20,G#min,Bmin,AAM,midi
28,21,G#min,Bmin,AAM,midi
29,0,F#maj,F#maj,AAM,midi
29,1,F#maj,F#maj,AAM,midi
29,2,F#maj,F#maj,AAM,midi
29,3,F#maj,F#maj,AAM,midi
29,4,F#maj,F#maj,AAM,midi
29,5,F#maj,F#maj,AAM,midi
29,6,F#maj,F#maj,AAM,midi
29,7,F#maj,F#maj,AAM,midi
29,8,F#maj,F#maj,AAM,midi
29,9,F#maj,F#maj,AAM,midi
29,10,F#maj,F#maj,AAM,midi
29,11,F#maj,F#maj,AAM,midi
29,12,F#maj,F#maj,AAM,midi
29,13,F#maj,F#maj,AAM,midi
29,14,F#maj,F#maj,AAM,midi
29,15,F#maj,F#maj,AAM,midi
29,16,F#maj,F#maj,AAM,midi
29,17,F#maj,F#maj,AAM,midi
29,18,F#maj,F#maj,AAM,midi
29,19,F#maj,F#maj,AAM,midi
29,20,F#maj,F#maj,AAM,midi
29,21,F#maj,F#maj,AAM,midi
30,0,Gmaj,Bmin,AAM,midi
30,1,Gmaj,Bmin,AAM,midi
30,2,Gmaj,Bmin,AAM,midi
30,3,Gmaj,Gmaj,AAM,midi
30,4,Gmaj,Bmin,AAM,midi
